Timestamp,Open,High,Low,Close
,BTC-USD,BTC-USD,BTC-USD,BTC-USD
1603670400,13031.20,13225.30,12822.38,13075.25
1603756800,13075.24,13759.67,13060.84,13654.22
1603843200,13654.21,13837.70,12932.25,13271.29
1603929600,13271.30,13612.05,12980.06,13437.88
1604016000,13437.87,13651.52,13136.20,13546.52
1604102400,13546.53,14028.21,13457.53,13781.00
1604188800,13781.00,13862.03,13628.38,13737.11
1604275200,13737.03,13808.32,13243.16,13550.49
1604361600,13550.45,13984.98,13325.44,13950.30
1604448000,13950.49,14218.77,13580.47,14133.71
1604534400,14133.73,15706.40,14102.09,15579.85
1604620800,15579.73,15903.44,15226.84,15565.88
1604707200,15565.88,15737.10,14423.20,14833.75
1604793600,14833.75,15637.32,14744.11,15479.57
1604880000,15479.60,15785.14,14865.53,15332.32
1604966400,15332.35,15450.33,15124.96,15290.90
1605052800,15290.91,15916.26,15290.01,15701.34
1605139200,15701.30,16305.00,15534.77,16276.34
1605225600,16276.44,16463.18,15992.15,16317.81
1605312000,16317.81,16317.81,15749.19,16068.14
1605398400,16068.14,16123.11,15793.53,15955.59
1605484800,15955.58,16816.18,15880.71,16716.11
1605571200,16685.69,17782.92,16564.54,17645.41
1605657600,17645.19,18393.95,17352.91,17804.01
1605744000,17803.86,18119.55,17382.55,17817.09
1605830400,17817.08,18773.23,17765.79,18621.31
1605916800,18621.32,18936.62,18444.36,18642.23
1606003200,18642.23,18688.97,17671.38,18370.00
1606089600,18370.02,18711.43,18000.80,18364.12
1606176000,18365.02,19348.27,18128.66,19107.46
1606262400,19104.41,19390.96,18581.15,18732.12
1606348800,18729.84,18866.29,16351.04,17150.62
1606435200,17153.91,17445.02,16526.42,17108.40
1606521600,17112.93,17853.94,16910.65,17717.41
1606608000,17719.63,18283.63,17559.12,18177.48
1606694400,18178.32,19749.26,18178.32,19625.84
1606780800,19633.77,19845.97,18321.92,18803.00
1606867200,18801.74,19308.33,18347.72,19201.09
1606953600,19205.93,19566.19,18925.79,19445.40
1607040000,19446.97,19511.40,18697.19,18699.77
1607126400,18698.38,19160.45,18590.19,19154.23
1607212800,19154.18,19390.50,18897.89,19345.12
1607299200,19343.13,19411.83,18931.14,19191.63
1607385600,19191.53,19283.48,18269.95,18321.14
1607472000,18320.88,18626.29,17935.55,18553.92
1607558400,18553.30,18553.30,17957.06,18264.99
1607644800,18263.93,18268.45,17619.53,18058.90
1607731200,18051.32,18919.55,18046.04,18803.66
1607817600,18806.77,19381.54,18734.33,19142.38
1607904000,19144.49,19305.10,19012.71,19246.64
1607990400,19246.92,19525.01,19079.84,19417.08
1608076800,19418.82,21458.91,19298.32,21310.60
1608163200,21308.35,23642.66,21234.68,22805.16
1608249600,22806.80,23238.60,22399.81,23137.96
1608336000,23132.87,24085.86,22826.47,23869.83
1608422400,23861.77,24209.66,23147.71,23477.29
1608508800,23474.46,24059.98,22159.37,22803.08
1608595200,22794.04,23789.90,22430.61,23783.03
1608681600,23781.97,24024.49,22802.65,23241.35
1608768000,23240.20,23768.34,22777.60,23735.95
1608854400,23733.57,24710.10,23463.67,24664.79
1608940800,24677.02,26718.07,24522.69,26437.04
1609027200,26439.37,28288.84,25922.77,26272.29
1609113600,26280.82,27389.11,26207.64,27084.81
1609200000,27081.81,27370.72,25987.30,27362.44
1609286400,27360.09,28937.74,27360.09,28840.95
1609372800,28841.57,29244.88,28201.99,29001.72
1609459200,28994.01,29600.63,28803.59,29374.15
1609545600,29376.46,33155.12,29091.18,32127.27
1609632000,32129.41,34608.56,32052.32,32782.02
1609718400,32810.95,33440.22,28722.76,31971.91
1609804800,31977.04,34437.59,30221.19,33992.43
1609891200,34013.61,36879.70,33514.04,36824.36
1609977600,36833.88,40180.37,36491.19,39371.04
1610064000,39381.77,41946.74,36838.64,40797.61
